EO1_slozeni	EO2_slozeni
Bazalka posvátná | Bazalka pravá | Bergamot RAW | Borovice lesní | Calamus | Cedr himalájský | Eukalyptus Globulus | Heřmánek pravý | Hřebíček, list | Kadidlo Carterii | Kadidlo Serrata | Kardamom zelený | Levandule Kašmír | Majoránka | Máta peprná | Meduňka | Nard | Pomeranč červený RAW | Pomeranč | Řebříček | Řebříček modrý | Rozmarýn | Šalvěj muškátová | Tymián thymol | Vavřín | Vetiver	Melaleuca Quinquenervia | Boswellia Serrata | Lavandula/ Extract | Lavandula Angustifolia Flower | Pinene | Linalool | Limonene | Terpineol | Linalyl Acetate | Camphor | Beta-Caryophyllene | Menthol | Melaleuca Alternifolia Leaf | Terpinolene | Cinnamal | Alpha-Terpinene | Benzyl Alcohol | Geranyl Acetate | Rose Flower/Extract | Boswellia Sacra Resin | Boswellia Carterii Gum | Commiphora Confusa Resin | Rosa Alba Flower | Rosa Centifolia Flower | Rosa Damascena Flower
Bazalka posvátná | Bazalka pravá | Bergamot RAW | Borovice lesní | Calamus | Cedr himalájský | Eukalyptus Globulus | Heřmánek pravý | Hřebíček, list | Kadidlo Carterii | Kadidlo Serrata | Kardamom zelený | Levandule Kašmír | Majoránka | Máta peprná | Meduňka | Nard | Pomeranč červený RAW | Pomeranč | Řebříček | Řebříček modrý | Rozmarýn | Šalvěj muškátová | Tymián thymol | Vavřín | Vetiver	Bergamot RAW | Heřmánek pravý | Hyssop | Levandule Kašmír | Meduňka | Pomeranč | Řebříček | Rmen (Heřmánek římský) | Smil FRANCIE
Boswellia Serrata | Lavandula Angustifolia Flower | Lavandula/Extract | Anthemis Nobilis Flower | Linalool | Linalyl Acetate | Cananga Odorata Flower | Cananga Odorata/Extract | Camphor | Pinene | Mentha Piperita | Mentha Piperita | Origanum Majorana Leaf | Pelargonium Graveolens | Pelargonium Graveolens Flower | Menthol | Beta-Caryophyllene | Limonene | Citronellol | Geranyl Acetate | Cinnamal | Terpineol | Terpinolene | Benzyl Benzoate | Anethole | Alpha-Terpinene | Benzyl Salicylate | Citral | Tanacetum Annuum Flower | Picea Glauca | Helichrysum Italicum Flower | Ormenis Multicaulis Flower	Kadidlo Carterii | Kadidlo Frereana | Kadidlo Sacra | Kadidlo Serrata
Bazalka posvátná | Bazalka pravá | Cedr himalájský | Citron, RAW | Eukalyptus Globulus | Gurjum Balsam | Heřmánek pravý | Hřebíček, list | Kadidlo Carterii | Kadidlo Sacra | Kopál vonný - Palo Santo | Levandule Kašmír | Majoránka | Máta peprná | Máta rolní | Meduňka | Myrha | Perilový olej | Pomeranč | Řebříček | Rmen (Heřmánek římský) | Rozmarýn | Růže stolistá | Šalvěj muškátová | Smil FRANCIE | Smrk ztepilý	Melaleuca Quinquenervia | Boswellia Serrata | Lavandula/ Extract | Lavandula Angustifolia Flower | Pinene | Linalool | Limonene | Terpineol | Linalyl Acetate | Camphor | Beta-Caryophyllene | Menthol | Melaleuca Alternifolia Leaf | Terpinolene | Cinnamal | Alpha-Terpinene | Benzyl Alcohol | Geranyl Acetate | Rose Flower/Extract | Boswellia Sacra Resin | Boswellia Carterii Gum | Commiphora Confusa Resin | Rosa Alba Flower | Rosa Centifolia Flower | Rosa Damascena Flower
Bazalka posvátná | Bazalka pravá | Citrónová tráva | Eukalyptus Camaldulensis | Gurjum Balsam | Heřmánek pravý | Hřebíček, list | Kadidlo Carterii | Kadidlo Sacra | Kadidlo Serrata | Kopaiva | Kopál vonný - Palo Santo | Kurkuma, kořen | Levandule | Libavka | Majoránka | Máta peprná | Máta rolní | Myrha | Rozmarýn | Růže stolistá | Smil France | Smrk ztepilý	Bazalka pravá | Citron, RAW | Heřmánek pravý | Hřebíček, list | Kadidlo Carterii | Kadidlo Serrata | Kopaiva | Kopál vonný - Palo Santo | Levandule | Máta peprná | Máta rolní | Myrha | Oregano | Tymián thymol
Bazalka posvátná | Bazalka pravá | Borovice lesní | Citron, RAW | Citrónová tráva | Eukalyptus Globulus | Grapefruit | Gurjum Balsam | Hřebíček, list | Jalovec, plod | Kadidlo Carterii | Kadidlo Sacra | Kadidlo Serrata | Kopál vonný - Palo Santo | Koriandr, semena | Kurkuma, kořen | Libavka | Máta peprná | Máta rolní | Myrha | Palmarosa | Perilový olej | Pomeranč | Rozmarýn | Růže stolistá | Šalvěj muškátová | Smil FRANCIE | Smrk ztepilý | Tymián thymol | Vavřín | Zázvor	Melaleuca Quinquenervia | Boswellia Serrata | Lavandula/ Extract | Lavandula Angustifolia Flower | Pinene | Linalool | Limonene | Terpineol | Linalyl Acetate | Camphor | Beta-Caryophyllene | Menthol | Melaleuca Alternifolia Leaf | Terpinolene | Cinnamal | Alpha-Terpinene | Benzyl Alcohol | Geranyl Acetate | Rose Flower/Extract | Boswellia Sacra Resin | Boswellia Carterii Gum | Commiphora Confusa Resin | Rosa Alba Flower | Rosa Centifolia Flower | Rosa Damascena Flower
	Melaleuca Quinquenervia | Boswellia Serrata | Lavandula/ Extract | Lavandula Angustifolia Flower | Pinene | Linalool | Limonene | Terpineol | Linalyl Acetate | Camphor | Beta-Caryophyllene | Menthol | Melaleuca Alternifolia Leaf | Terpinolene | Cinnamal | Alpha-Terpinene | Benzyl Alcohol | Geranyl Acetate | Rose Flower/Extract | Boswellia Sacra Resin | Boswellia Carterii Gum | Commiphora Confusa Resin | Rosa Alba Flower | Rosa Centifolia Flower | Rosa Damascena Flower
Boswellia Serrata | Lavandula Angustifolia Flower | Lavandula/Extract | Anthemis Nobilis Flower | Linalool | Linalyl Acetate | Cananga Odorata Flower | Cananga Odorata/Extract | Camphor | Pinene | Mentha Piperita | Mentha Piperita | Origanum Majorana Leaf | Pelargonium Graveolens | Pelargonium Graveolens Flower | Menthol | Beta-Caryophyllene | Limonene | Citronellol | Geranyl Acetate | Cinnamal | Terpineol | Terpinolene | Benzyl Benzoate | Anethole | Alpha-Terpinene | Benzyl Salicylate | Citral | Tanacetum Annuum Flower | Picea Glauca | Helichrysum Italicum Flower | Ormenis Multicaulis Flower	Melaleuca Quinquenervia | Boswellia Serrata | Lavandula/ Extract | Lavandula Angustifolia Flower | Pinene | Linalool | Limonene | Terpineol | Linalyl Acetate | Camphor | Beta-Caryophyllene | Menthol | Melaleuca Alternifolia Leaf | Terpinolene | Cinnamal | Alpha-Terpinene | Benzyl Alcohol | Geranyl Acetate | Rose Flower/Extract | Boswellia Sacra Resin | Boswellia Carterii Gum | Commiphora Confusa Resin | Rosa Alba Flower | Rosa Centifolia Flower | Rosa Damascena Flower
Bazalka posvátná | Bazalka pravá | Citrónová tráva | Eukalyptus Camaldulensis | Gurjum Balsam | Heřmánek pravý | Hřebíček, list | Kadidlo Carterii | Kadidlo Sacra | Kadidlo Serrata | Kopaiva | Kopál vonný - Palo Santo | Kurkuma, kořen | Levandule | Libavka | Majoránka | Máta peprná | Máta rolní | Myrha | Rozmarýn | Růže stolistá | Smil France | Smrk ztepilý	Bazalka posvátná | Bazalka pravá | Borovice lesní | Citron, RAW | Citrónová tráva | Eukalyptus Globulus | Grapefruit | Gurjum Balsam | Hřebíček, list | Jalovec, plod | Kadidlo Carterii | Kadidlo Sacra | Kadidlo Serrata | Kopál vonný - Palo Santo | Koriandr, semena | Kurkuma, kořen | Libavka | Máta peprná | Máta rolní | Myrha | Palmarosa | Perilový olej | Pomeranč | Rozmarýn | Růže stolistá | Šalvěj muškátová | Smil FRANCIE | Smrk ztepilý | Tymián thymol | Vavřín | Zázvor
Bazalka posvátná | Bazalka pravá | Borovice lesní | Citron, RAW | Citrónová tráva | Eukalyptus Globulus | Grapefruit | Gurjum Balsam | Hřebíček, list | Jalovec, plod | Kadidlo Carterii | Kadidlo Sacra | Kadidlo Serrata | Kopál vonný - Palo Santo | Koriandr, semena | Kurkuma, kořen | Libavka | Máta peprná | Máta rolní | Myrha | Palmarosa | Perilový olej | Pomeranč | Rozmarýn | Růže stolistá | Šalvěj muškátová | Smil FRANCIE | Smrk ztepilý | Tymián thymol | Vavřín | Zázvor	Bazalka posvátná | Bazalka pravá | Citrónová tráva | Eukalyptus Camaldulensis | Gurjum Balsam | Heřmánek pravý | Hřebíček, list | Kadidlo Carterii | Kadidlo Sacra | Kadidlo Serrata | Kopaiva | Kopál vonný - Palo Santo | Kurkuma, kořen | Levandule | Libavka | Majoránka | Máta peprná | Máta rolní | Myrha | Rozmarýn | Růže stolistá | Smil France | Smrk ztepilý
