id	created_at	blend_name	ingredients	category
1353	2026-03-03 10:06:00.75605+00	BONUSOVÁ SADA 0.3	BASIL | LEMONGRASS | FRANKINCENSE (BOSWELLIA SERRATA) | WILD MINT (Mentha arvensis) | PEPPERMINT (Máta peprná)	PRAWTEIN®
1354	2026-03-03 10:06:00.75605+00	PRAWTEIN C60	BIO RAW KAKAOVÉ BOBY se slupkou | BIO RAW KAKAOVÉ BOBY se slupkou | BIO JAGGERY POWDER | BIO JAGGERY POWDER | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | Olive oil organic (olivový olej BIO)	PRAWTEIN®
1355	2026-03-03 10:06:00.75605+00	PRAWTEIN C60 PLUS WITH FRANKINCENSE	BIO RAW KAKAOVÉ BOBY se slupkou | BIO JAGGERY POWDER | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem)	PRAWTEIN®
1356	2026-03-03 10:06:00.75605+00	Bonusová sada 0.2	BASIL | LEMONGRASS | FRANKINCENSE (BOSWELLIA SERRATA) | WILD MINT (Mentha arvensis) | PEPPERMINT (Máta peprná)	PRAWTEIN® – superpotravinové směsi
1357	2026-03-03 10:06:00.75605+00	PRAWTEIN Acai Berry Plus	BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | BIO JAGGERY POWDER	PRAWTEIN® – superpotravinové směsi
1358	2026-03-03 10:06:00.75605+00	PRAWTEIN Alg	BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | BIO JAGGERY POWDER | BIO KONOPNÁ SEMÍNKA (Organic Hemp Nuts) Rumunsko	PRAWTEIN® – superpotravinové směsi
1359	2026-03-03 10:06:00.75605+00	PRAWTEIN Aloe Vera Plus	BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 3 (mořské řasy s olivovým olejem) | BIO JAGGERY POWDER	PRAWTEIN® – superpotravinové směsi
1360	2026-03-03 10:06:00.75605+00	PRAWTEIN Ava	BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | BIO JAGGERY POWDER	PRAWTEIN® – superpotravinové směsi
1361	2026-03-03 10:06:00.75605+00	PRAWTEIN B-In	BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | BIO JAGGERY POWDER	PRAWTEIN® – superpotravinové směsi
1362	2026-03-03 10:06:00.75605+00	PRAWTEIN Beva	BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | BIO JAGGERY POWDER	PRAWTEIN® – superpotravinové směsi
1363	2026-03-03 10:06:00.75605+00	PRAWTEIN Bo	BIO RAW KAKAOVÉ BOBY se slupkou | BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | BIO JAGGERY POWDER | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | BIO JAGGERY POWDER	PRAWTEIN® – superpotravinové směsi
